City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Taoudenni,ML,2022-01-09 19:36:15,22.6783,-3.9836,59.09,15,5,11.48,clear sky
141,Yuancheng,CN,2022-01-09 19:36:15,36.652,107.7896,26.94,59,100,14.0,overcast clouds
142,Beira,MZ,2022-01-09 19:36:16,-19.8436,34.8389,80.69,74,20,11.5,few clouds
143,Nanortalik,GL,2022-01-09 19:36:16,60.1432,-45.2371,18.88,81,100,36.64,overcast clouds
144,Lodja,CD,2022-01-09 19:36:16,-3.4833,23.4333,71.37,89,100,1.57,overcast clouds
145,Mitchell,US,2022-01-09 19:35:21,43.7094,-98.0298,20.1,47,0,5.99,clear sky
146,Butaritari,KI,2022-01-09 19:36:17,3.0707,172.7902,80.98,76,97,9.89,overcast clouds
147,Vardo,NO,2022-01-09 19:36:17,70.3705,31.1107,26.58,80,100,14.97,overcast clouds
148,Provideniya,RU,2022-01-09 19:36:17,64.3833,-173.3,1.65,61,0,10.22,clear sky
149,Kurilsk,RU,2022-01-09 19:36:18,45.2333,147.8833,25.79,64,99,17.74,overcast clouds
150,Gambela,ET,2022-01-09 19:36:18,8.25,34.5833,82.72,45,11,3.69,few clouds
151,Leningradskiy,RU,2022-01-09 19:36:19,69.3833,178.4167,-14.24,91,59,7.92,broken clouds
152,Qianan,CN,2022-01-09 19:36:19,44.9932,124.0581,-5.76,100,100,3.31,overcast clouds
153,Chipinge,ZW,2022-01-09 19:36:19,-20.1883,32.6236,65.17,61,49,1.43,scattered clouds
154,Fortuna Foothills,US,2022-01-09 19:36:20,32.6578,-114.4119,66.29,30,0,4.0,clear sky
155,Trinidad,BO,2022-01-09 19:36:20,-14.8333,-64.9,89.58,70,75,9.22,broken clouds
156,Sao Filipe,CV,2022-01-09 19:36:20,14.8961,-24.4956,73.22,63,100,5.75,overcast clouds
157,Brae,GB,2022-01-09 19:36:21,60.3964,-1.353,42.71,88,97,22.93,overcast clouds
158,Olafsvik,IS,2022-01-09 19:36:21,64.8945,-23.7142,41.4,80,100,29.64,light rain
159,Kawalu,ID,2022-01-09 19:36:21,-7.3817,108.2082,72.59,97,97,0.45,overcast clouds
160,Sovetskiy,RU,2022-01-09 19:36:22,61.3614,63.5842,5.04,89,92,8.61,overcast clouds
161,Batemans Bay,AU,2022-01-09 19:36:22,-35.7167,150.1833,74.19,90,43,2.42,scattered clouds
