City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
178,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
180,Cam Ranh,VN,73.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
181,Carnarvon,AU,71.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
182,Nelson Bay,AU,73.96,clear sky,-32.7167,152.15,Mantra Nelson Bay
183,Luangwa,ZM,71.58,overcast clouds,-15.6167,30.4167,Gerasimos Safari Lodge
185,Mar Del Plata,AR,83.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
188,La Asuncion,VE,82.13,few clouds,11.0333,-63.8628,Colinas de Matasiete
189,Sassandra,CI,80.33,overcast clouds,4.95,-6.0833,la terrasse
193,La Palma,US,75.16,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
202,Pangai,TO,78.91,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
203,Huarmey,PE,76.68,clear sky,-10.0681,-78.1522,Hotel Miramar
206,Hervey Bay,AU,72.01,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
208,Coahuayana,MX,89.08,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
210,Qandala,SO,73.83,clear sky,11.472,49.8728,
212,Pisco,PE,82.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
218,Benguela,AO,74.05,broken clouds,-12.5763,13.4055,Hotel Praia Morena
219,Bengkulu,ID,75.63,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
220,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
227,Ancud,CL,73.42,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
230,Porto Novo,BJ,84.02,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
231,Sao Joao Batista,BR,75.76,overcast clouds,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
238,Sadsalan,PH,75.09,overcast clouds,6.8231,124.6222,Ethan's Function Hall and Resto Grill
242,Beeville,US,77.52,scattered clouds,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
255,Savannah Bight,HN,84.25,clear sky,16.45,-85.85,Villa on Dunbar Rock
260,Upington,ZA,79.18,broken clouds,-28.4478,21.2561,River Place Manor
261,Xuddur,SO,79.16,clear sky,4.1213,43.8894,Banjanay Hotel
262,Aden,YE,76.53,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
264,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
271,Honiara,SB,78.87,overcast clouds,-9.4333,159.95,Heritage Park Hotel
272,East London,ZA,75.42,overcast clouds,-33.0153,27.9116,Tu Casa
274,Mahibadhoo,MV,80.76,scattered clouds,3.7833,72.9667,Omadhoo Inn
277,Cairns,AU,79.07,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
