City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Acapulco,MX,2022-01-04 00:44:19,16.8634,-99.8901,77.88,76,0,7.78
122,Santa Maria,BR,2022-01-04 00:49:13,-29.6842,-53.8069,79.9,74,40,2.3
123,Baghdad,IQ,2022-01-04 00:49:14,33.3406,44.4009,37.31,100,0,5.75
124,Huanren,CN,2022-01-04 00:49:14,41.2647,125.3667,10.13,71,5,3.06
125,San Cristobal,VE,2022-01-04 00:49:15,7.7669,-72.225,73.58,76,100,1.79
126,Tripoli,LY,2022-01-04 00:49:15,32.8752,13.1875,58.03,71,0,8.75
127,Forest Hills,US,2022-01-04 00:49:16,42.9595,-85.4898,30.02,62,7,4.0
128,Kathmandu,NP,2022-01-04 00:48:26,27.7167,85.3167,41.22,100,20,0.0
129,Punta Arenas,CL,2022-01-04 00:49:16,-53.15,-70.9167,48.31,40,20,17.27
130,Henties Bay,NA,2022-01-04 00:49:16,-22.116,14.2845,60.85,95,29,6.38
131,Saint Anthony,US,2022-01-04 00:49:17,45.0205,-93.218,20.8,81,1,0.0
132,Broken Hill,AU,2022-01-04 00:49:18,-31.95,141.4333,74.91,33,0,20.71
133,Port Hardy,CA,2022-01-04 00:49:18,50.6996,-127.4199,39.2,93,75,2.3
134,Taganak,PH,2022-01-04 00:49:19,6.0833,118.3,77.14,79,100,3.69
135,Ajdabiya,LY,2022-01-04 00:49:19,30.7554,20.2263,58.06,76,6,7.38
136,Port Alfred,ZA,2022-01-04 00:49:20,-33.5906,26.891,68.52,92,100,10.71
137,Cabadiangan,PH,2022-01-04 00:50:20,9.7531,122.4739,79.3,74,100,10.54
138,Manaus,BR,2022-01-04 00:50:20,-3.1019,-60.025,84.69,70,0,4.61
139,Kenai,US,2022-01-04 00:47:09,60.5544,-151.2583,8.69,52,1,21.85
140,Kelvington,CA,2022-01-04 00:48:05,52.1667,-103.5343,-4.34,98,100,11.74
141,Bathsheba,BB,2022-01-04 00:50:21,13.2167,-59.5167,77.61,69,40,16.11
142,Tasiilaq,GL,2022-01-04 00:50:21,65.6145,-37.6368,17.04,78,100,12.46
143,Vardo,NO,2022-01-04 00:50:22,70.3705,31.1107,23.18,62,100,15.01
144,Nueva Granada,CO,2022-01-04 00:50:22,9.8017,-74.393,79.05,60,100,7.09
145,Kaputa,ZM,2022-01-04 00:50:22,-8.4689,29.6619,67.39,92,100,3.24
146,Xining,CN,2022-01-04 00:50:23,36.6167,101.7667,19.58,42,5,2.21
147,Hue,VN,2022-01-04 00:50:23,16.4667,107.6,68.11,94,75,4.61
148,Harboore,DK,2022-01-04 00:50:24,56.6175,8.1807,37.22,56,63,17.18
149,Yeppoon,AU,2022-01-04 00:50:24,-23.1333,150.7333,92.98,47,16,5.77
150,Port Augusta,AU,2022-01-04 00:50:24,-32.5,137.7667,81.72,37,0,17.02
151,Poitiers,FR,2022-01-04 00:50:25,46.5833,0.3333,53.98,63,75,17.27
152,Longyearbyen,SJ,2022-01-04 00:50:25,78.2186,15.6401,-0.56,71,0,14.97
153,Normandin,CA,2022-01-04 00:50:25,48.8333,-72.5321,-10.89,76,58,1.14
154,Lagoa,PT,2022-01-04 00:50:26,39.05,-27.9833,56.12,53,100,7.16
155,Meulaboh,ID,2022-01-04 00:50:26,4.1363,96.1285,75.96,88,25,3.69
156,Dzilam Gonzalez,MX,2022-01-04 00:50:27,21.2833,-88.9333,71.4,71,100,9.82
157,Port-Cartier,CA,2022-01-04 00:50:27,50.0334,-66.8654,-0.26,94,31,7.38
158,Coihaique,CL,2022-01-04 00:50:01,-45.5752,-72.0662,49.95,62,75,10.36
159,Nabire,ID,2022-01-04 00:49:18,-3.3667,135.4833,83.37,72,77,0.63
160,Coquimbo,CL,2022-01-04 00:50:28,-29.9533,-71.3436,66.29,79,8,6.85
161,Yellowknife,CA,2022-01-04 00:49:09,62.456,-114.3525,-34.08,67,20,10.36
162,Saint George,US,2022-01-04 00:49:28,37.1041,-113.5841,44.44,39,100,3.36
163,Saquisili,EC,2022-01-04 00:50:28,-0.8333,-78.6667,50.59,91,100,0.13
164,Sucua,EC,2022-01-04 00:50:29,-2.4667,-78.1667,69.89,96,73,2.08
165,Antequera,ES,2022-01-04 00:50:29,37.0194,-4.5612,48.96,52,41,2.39
166,La Orilla,MX,2022-01-04 00:50:29,17.9833,-102.2333,76.64,76,0,5.35
167,Yazman,PK,2022-01-04 00:50:30,29.1212,71.7446,59.29,38,100,13.73
168,Baturaja,ID,2022-01-04 00:50:30,-4.1333,104.1667,76.64,88,95,0.74
169,Pangnirtung,CA,2022-01-04 00:50:31,66.1451,-65.7125,6.39,80,100,7.45
170,Arraial Do Cabo,BR,2022-01-04 00:50:31,-22.9661,-42.0278,75.67,90,100,24.0
171,Norman Wells,CA,2022-01-04 00:50:31,65.282,-126.8329,-32.76,68,75,10.36
172,Watsa,CD,2022-01-04 00:50:31,3.0372,29.5355,65.01,48,100,1.45
173,Tari,NG,2022-01-04 00:50:32,12.4086,4.4914,66.96,27,97,10.98
174,Sorland,NO,2022-01-04 00:50:32,67.667,12.6934,36.32,74,100,11.83
175,Mao,ES,2022-01-04 00:50:33,39.8885,4.2658,55.96,88,75,12.66
176,Upata,VE,2022-01-04 00:50:33,8.0086,-62.3989,74.19,88,70,4.36
177,Voghera,IT,2022-01-04 00:50:34,44.9947,9.0086,56.05,93,100,2.51
178,Qui Nhon,VN,2022-01-04 00:50:34,13.7667,109.2333,71.31,88,100,10.36
179,Chaozhou,CN,2022-01-04 00:50:35,23.6651,116.6379,55.26,69,93,2.51
180,Hasaki,JP,2022-01-04 00:50:35,35.7333,140.8333,46.8,48,0,14.94
181,Cidreira,BR,2022-01-04 00:51:35,-30.1811,-50.2056,74.98,93,100,14.36
182,Cherskiy,RU,2022-01-04 00:51:35,68.75,161.3,-1.17,98,100,7.29
183,Itaituba,BR,2022-01-04 00:51:36,-4.2761,-55.9836,71.83,100,100,1.66
184,Ancud,CL,2022-01-04 00:51:37,-41.8697,-73.8203,56.73,81,100,10.65
185,Berlevag,NO,2022-01-04 00:51:37,70.8578,29.0864,20.26,66,100,16.04
186,Rivers,CA,2022-01-04 00:51:38,50.0308,-100.2403,-4.85,97,51,10.78
187,Hamilton,US,2022-01-04 00:50:15,39.1834,-84.5333,29.64,75,1,1.01
188,Villazon,BO,2022-01-04 00:51:38,-22.0866,-65.5942,56.07,64,100,14.94
189,Hanyang,CN,2022-01-04 00:51:39,32.1371,105.5126,41.86,74,100,3.02
190,Cairns,AU,2022-01-04 00:47:42,-16.9167,145.7667,95.11,55,91,4.61
191,Houston,US,2022-01-04 00:51:24,29.7633,-95.3633,48.9,52,0,2.06
192,Kodiak,US,2022-01-04 00:51:40,57.79,-152.4072,19.17,68,91,18.14
193,Grand Gaube,MU,2022-01-04 00:51:40,-20.0064,57.6608,75.38,82,100,1.99
194,Ola,RU,2022-01-04 00:51:41,59.5833,151.2833,7.14,92,68,5.73
195,Sars,RU,2022-01-04 00:51:41,56.5502,57.1366,-0.63,96,100,9.66
196,Los Llanos De Aridane,ES,2022-01-04 00:51:41,28.6585,-17.9182,61.12,47,0,5.99
197,Aklavik,CA,2022-01-04 00:51:42,68.2191,-135.0107,-27.4,75,40,4.61
198,Barda,AZ,2022-01-04 00:51:42,40.3744,47.1267,37.62,59,17,7.34
199,Bandarbeyla,SO,2022-01-04 00:51:42,9.4942,50.8122,76.53,87,70,6.17
200,Souillac,MU,2022-01-04 00:51:43,-20.5167,57.5167,75.36,84,84,8.48
201,Antalaha,MG,2022-01-04 00:51:43,-14.9003,50.2788,76.15,87,100,4.05
202,Olafsvik,IS,2022-01-04 00:51:43,64.8945,-23.7142,28.87,70,35,7.56
203,Safaga,EG,2022-01-04 00:51:44,26.7292,33.9365,58.95,59,0,13.49
204,Taltal,CL,2022-01-04 00:51:44,-25.4,-70.4833,67.64,78,9,4.14
205,Vestmannaeyjar,IS,2022-01-04 00:51:44,63.4427,-20.2734,30.09,64,0,20.27
206,Esperance,AU,2022-01-04 00:51:45,-33.8667,121.9,71.44,61,36,15.5
207,Te Anau,NZ,2022-01-04 00:51:46,-45.4167,167.7167,67.69,62,100,2.33
208,Airai,TL,2022-01-04 00:51:46,-8.9266,125.4092,69.8,76,100,2.59
209,Baker City,US,2022-01-04 00:46:57,44.7749,-117.8344,32.65,90,90,6.91
210,Narsaq,GL,2022-01-04 00:51:47,60.9167,-46.05,34.18,53,100,21.23
211,Bethel,US,2022-01-04 00:51:47,41.3712,-73.414,27.18,58,1,1.99
212,Butaritari,KI,2022-01-04 00:51:48,3.0707,172.7902,81.37,66,100,15.88
213,Brodnica,PL,2022-01-04 00:51:48,53.2597,19.3965,41.18,88,100,12.59
214,Saint-Augustin,CA,2022-01-04 00:51:48,51.226,-58.6502,-3.06,79,0,15.48
215,Derzhavinsk,KZ,2022-01-04 00:51:49,51.1,66.3167,11.19,94,11,12.28
216,Tilichiki,RU,2022-01-04 00:51:49,60.4667,166.1,30.61,95,100,29.62
217,Olga,RU,2022-01-04 00:51:50,43.7444,135.2892,5.72,48,5,16.53
218,Aki,JP,2022-01-04 00:51:50,33.5,133.9,42.75,50,2,7.72
219,Buala,SB,2022-01-04 00:51:50,-8.145,159.5921,84.45,72,100,7.34
220,Sassandra,CI,2022-01-04 00:51:51,4.95,-6.0833,77.86,85,82,6.62
221,Khash,IR,2022-01-04 00:49:16,28.2211,61.2158,51.98,86,0,14.23
222,Port Elizabeth,ZA,2022-01-04 00:51:51,-33.918,25.5701,68.09,94,0,2.3
223,Kavieng,PG,2022-01-04 00:51:52,-2.5744,150.7967,81.05,80,100,8.5
224,San Luis,AR,2022-01-04 00:51:52,-33.295,-66.3356,75.92,58,0,15.19
225,Abu Samrah,SY,2022-01-04 00:51:53,35.3029,37.1841,44.6,80,14,7.36
226,Bilibino,RU,2022-01-04 00:51:53,68.0546,166.4372,18.01,95,100,3.4
227,The Valley,AI,2022-01-04 00:52:54,18.217,-63.0578,78.82,78,20,8.05
228,Saint-Joseph,RE,2022-01-04 00:52:54,-21.3667,55.6167,74.21,77,26,5.91
229,Hermiston,US,2022-01-04 00:52:22,45.8404,-119.2895,39.11,90,90,8.05
230,Geraldton,AU,2022-01-04 00:52:54,-28.7667,114.6,81.01,54,0,11.5
231,Cabedelo,BR,2022-01-04 00:52:55,-6.9811,-34.8339,81.27,75,6,12.55
232,Namibe,AO,2022-01-04 00:52:55,-15.1961,12.1522,67.24,86,100,2.86
233,Ambon,ID,2022-01-04 00:49:15,-3.6954,128.1814,77.14,94,40,7.54
234,Dakar,SN,2022-01-04 00:50:43,14.6937,-17.4441,71.73,83,0,4.61
235,Kastamonu,TR,2022-01-04 00:52:56,41.5,33.6667,35.89,64,100,5.08
236,La Ronge,CA,2022-01-04 00:52:57,55.1001,-105.2842,-12.75,77,90,3.44
237,Ixtapa,MX,2022-01-04 00:52:35,20.7,-105.2,76.23,89,14,3.0
238,Jibuti,DJ,2022-01-04 00:49:07,11.5,42.5,72.82,80,89,6.51
239,Fairbanks,US,2022-01-04 00:52:57,64.8378,-147.7164,-34.64,97,20,3.44
240,Ziarat,PK,2022-01-04 00:49:20,30.3823,67.7282,31.48,95,100,2.08
241,Aranos,NA,2022-01-04 00:52:58,-24.1333,19.1167,71.85,20,3,8.84
242,Maneadero,MX,2022-01-04 00:52:59,31.7167,-116.5667,59.18,77,1,5.01
243,Bocas Del Toro,PA,2022-01-04 00:52:59,9.3333,-82.25,77.81,81,50,4.83
244,Vrangel,RU,2022-01-04 00:53:00,42.7297,133.0839,9.55,58,8,16.6
245,Rudbar,AF,2022-01-04 00:53:00,30.15,62.6,61.21,71,0,14.92
246,Cookeville,US,2022-01-04 00:53:01,36.1628,-85.5016,28.11,96,90,0.0
247,Erzin,TR,2022-01-04 00:53:01,36.9559,36.2,41.52,70,99,3.31
248,Kruisfontein,ZA,2022-01-04 00:53:01,-34.0033,24.7314,65.88,93,100,4.05
249,Husavik,IS,2022-01-04 00:53:02,66.0449,-17.3389,19.31,79,100,12.91
250,Muisne,EC,2022-01-04 00:53:02,0.6,-80.0333,74.52,86,100,4.5
251,Athabasca,CA,2022-01-04 00:51:14,54.7169,-113.2854,-9.58,98,100,11.83
252,Lompoc,US,2022-01-04 00:53:03,34.6391,-120.4579,56.01,74,1,11.5
253,Pandan,PH,2022-01-04 00:53:03,14.0453,124.1694,79.83,66,86,13.82
254,Half Moon Bay,US,2022-01-04 00:53:04,37.4636,-122.4286,55.74,89,90,4.0
255,Kahului,US,2022-01-04 00:52:36,20.8947,-156.47,79.97,70,40,10.36
256,Villamontes,BO,2022-01-04 00:53:04,-21.25,-63.5,69.62,97,100,8.16
257,Mega,ET,2022-01-04 00:53:04,4.05,38.3,60.53,53,5,6.67
258,Nouakchott,MR,2022-01-04 00:53:05,18.0858,-15.9785,64.33,31,92,9.91
259,Batagay-Alyta,RU,2022-01-04 00:53:05,67.8006,130.4114,-44.18,98,19,3.09
260,Maroantsetra,MG,2022-01-04 00:53:06,-15.4333,49.7333,77.49,88,100,2.53
261,Lerwick,GB,2022-01-04 00:53:06,60.1545,-1.1494,41.0,67,92,36.55
262,Energetik,RU,2022-01-04 00:53:07,51.7445,58.7934,-8.48,98,84,4.56
263,Salekhard,RU,2022-01-04 00:53:07,66.53,66.6019,-9.26,95,100,20.38
264,Carnarvon,AU,2022-01-04 00:53:08,-24.8667,113.6333,78.87,73,0,17.27
265,Otavi,NA,2022-01-04 00:53:08,-19.65,17.3333,75.63,20,96,9.71
266,Provideniya,RU,2022-01-04 00:53:09,64.3833,-173.3,6.8,94,79,1.7
267,Kailua,US,2022-01-04 00:53:09,21.4022,-157.7394,76.41,85,40,0.0
268,Limoges,FR,2022-01-04 00:53:09,45.75,1.3333,50.68,76,100,13.8
269,Prince Rupert,CA,2022-01-04 00:51:14,54.3161,-130.3201,28.09,51,1,9.22
270,Kantang,TH,2022-01-04 00:53:10,7.4054,99.5156,75.29,94,75,2.3
271,Moose Factory,CA,2022-01-04 00:53:10,51.2585,-80.6094,-2.22,78,90,0.0
272,Harrison,US,2022-01-04 00:52:21,30.4091,-89.0436,44.67,68,1,5.75
273,Dargaville,NZ,2022-01-04 00:53:11,-35.9333,173.8833,75.4,55,55,10.49
274,Vanavara,RU,2022-01-04 00:53:11,60.34,102.2797,-24.84,100,87,2.04
275,Sept-Iles,CA,2022-01-04 00:51:09,50.2001,-66.3821,0.05,69,1,7.0
276,Torbay,CA,2022-01-04 00:54:12,47.6666,-52.7314,23.68,76,40,18.41
277,Mitu,CO,2022-01-04 00:54:12,1.1983,-70.1733,75.52,74,100,2.68
278,Ugoofaaru,MV,2022-01-04 00:54:12,5.6667,73.0,82.08,73,25,8.16
279,Lamballe,FR,2022-01-04 00:54:13,48.4676,-2.5144,47.8,96,100,8.52
280,Portland,US,2022-01-04 00:50:48,45.5234,-122.6762,40.84,93,90,1.01
281,Mocajuba,BR,2022-01-04 00:54:11,-2.5842,-49.5072,72.81,100,100,0.78
282,Apatou,GF,2022-01-04 00:54:13,5.155,-54.3472,70.12,97,6,2.17
283,Panzhihua,CN,2022-01-04 00:54:14,26.5851,101.7128,47.77,70,1,1.63
284,Kirakira,SB,2022-01-04 00:54:14,-10.4544,161.9205,87.19,60,100,12.33
285,Rio Gallegos,AR,2022-01-04 00:54:15,-51.6226,-69.2181,51.85,46,75,11.5
286,Qaanaaq,GL,2022-01-04 00:54:15,77.484,-69.3632,-2.76,56,14,9.4
287,Mandurah,AU,2022-01-04 00:54:15,-32.55,115.7,77.16,51,91,10.63
288,Arbagar,RU,2022-01-04 00:54:16,51.9438,116.2805,-20.45,100,98,0.72
289,Goure,NE,2022-01-04 00:54:16,13.9835,10.2704,65.01,33,100,13.24
290,Zhigansk,RU,2022-01-04 00:54:17,66.7697,123.3711,-38.97,96,100,8.25
291,Laramie,US,2022-01-04 00:54:17,41.3114,-105.5911,28.49,54,9,12.01
292,Kargasok,RU,2022-01-04 00:54:18,59.0556,80.8572,11.37,92,100,10.04
293,Hovd,MN,2022-01-04 00:54:18,48.0056,91.6419,-4.45,81,99,2.17
294,College,US,2022-01-04 00:53:11,64.8569,-147.8028,-41.48,97,19,3.89
295,Grand-Lahou,CI,2022-01-04 00:54:19,5.1367,-5.0242,79.88,81,70,9.51
